일시,요일,최저기온(°C),최고기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C),구장,홈,방문,관중수
2023년4월14일,금요일,9.20,22.80,0.00,56.60,20.17,7.60,16.80,수원,KT,한화,7145.00
2023년4월14일,금요일,11.90,21.30,0.00,58.60,14.25,8.10,15.10,고척,키움,KIA,8043.00
2023년4월14일,금요일,9.90,20.70,0.10,50.90,9.67,8.00,17.70,대구,삼성,롯데,9124.00
2023년4월14일,금요일,11.70,19.50,0.00,63.30,16.25,8.10,14.00,문학,SSG,NC,8218.00
2023년4월14일,금요일,11.90,21.30,0.00,58.60,14.25,8.10,15.10,잠실,LG,두산,16528.00
2023년4월15일,토요일,7.40,16.30,2.00,87.00,9.84,8.10,15.40,수원,KT,한화,13212.00
2023년4월15일,토요일,9.30,16.60,4.60,81.80,9.50,7.40,15.80,고척,키움,KIA,13752.00
2023년4월15일,토요일,8.30,17.00,0.20,79.30,4.92,7.50,14.20,대구,삼성,롯데,18231.00
2023년4월15일,토요일,7.00,14.00,2.90,86.90,9.35,8.90,15.20,문학,SSG,NC,13956.00
2023년4월15일,토요일,9.30,16.60,4.60,81.80,9.50,7.40,15.80,잠실,LG,두산,21243.00
2023년4월16일,일요일,6.50,16.20,0.00,70.50,15.44,5.80,14.20,수원,KT,한화,13010.00
2023년4월16일,일요일,7.50,16.10,0.00,71.40,14.45,6.90,12.40,고척,키움,KIA,11265.00
2023년4월16일,일요일,6.80,18.90,0.00,62.30,15.42,5.80,14.60,대구,삼성,롯데,16076.00
2023년4월16일,일요일,6.40,14.20,0.00,77.80,15.16,7.10,12.60,문학,SSG,NC,13460.00
2023년4월16일,일요일,7.50,16.10,0.00,71.40,14.45,6.90,12.40,잠실,LG,두산,20090.00
2023년4월18일,화요일,13.30,19.60,0.10,88.40,6.04,9.60,19.10,사직,롯데,KIA,3829.00
2023년4월18일,화요일,10.70,18.40,1.50,78.60,10.85,6.40,15.70,잠실,LG,NC,6574.00
2023년4월18일,화요일,12.40,15.50,1.30,78.30,2.81,9.80,14.50,한밭,한화,두산,4012.00
2023년4월18일,화요일,10.90,17.70,1.00,74.30,8.53,8.90,15.20,수원,KT,SSG,3398.00
2023년4월18일,화요일,10.70,18.40,1.50,78.60,10.85,6.40,15.70,고척,키움,삼성,3104.00
2023년4월19일,수요일,15.10,19.20,0.30,90.30,5.29,9.30,20.60,사직,롯데,KIA,4869.00
2023년4월19일,수요일,11.50,28.40,0.00,66.10,27.82,2.30,21.30,잠실,LG,NC,7090.00
2023년4월19일,수요일,13.20,28.00,0.00,65.00,25.67,3.30,23.30,한밭,한화,두산,4212.00
2023년4월19일,수요일,11.40,28.20,0.00,65.80,26.85,2.10,22.50,수원,KT,SSG,3405.00
2023년4월19일,수요일,11.50,28.40,0.00,66.10,27.82,2.30,21.30,고척,키움,삼성,3869.00
2023년4월20일,목요일,15.40,25.10,0.00,73.10,25.50,0.50,23.80,사직,롯데,KIA,6423.00
2023년4월20일,목요일,14.50,18.90,0.50,92.10,4.12,9.50,16.10,잠실,LG,NC,9090.00
2023년4월20일,목요일,15.10,25.70,0.00,69.50,14.88,5.10,21.70,한밭,한화,두산,4122.00
2023년4월20일,목요일,12.30,19.90,0.00,88.80,9.22,8.60,19.10,수원,KT,SSG,4472.00
2023년4월20일,목요일,14.50,18.90,0.50,92.10,4.12,9.50,16.10,고척,키움,삼성,3918.00
2023년4월21일,금요일,11.40,22.80,0.00,50.40,21.05,3.80,19.10,잠실,두산,KT,6896.00
2023년4월21일,금요일,13.00,23.20,0.00,61.00,17.40,5.60,22.00,한밭,한화,LG,6004.00
2023년4월21일,금요일,12.70,23.30,0.00,51.80,21.88,4.10,21.80,창원,NC,롯데,12613.00
2023년4월21일,금요일,13.90,25.50,0.00,76.00,22.35,3.40,23.90,광주,KIA,삼성,6870.00
2023년4월21일,금요일,9.20,20.20,0.00,38.40,23.56,1.90,17.40,문학,SSG,키움,12374.00
2023년4월22일,토요일,12.20,22.50,0.00,22.90,21.20,7.60,18.30,잠실,두산,KT,13410.00
2023년4월22일,토요일,11.00,21.50,0.00,30.40,22.52,6.40,20.00,한밭,한화,LG,11152.00
2023년4월22일,토요일,9.80,20.50,0.00,37.30,24.36,3.10,18.60,창원,NC,롯데,15130.00
2023년4월22일,토요일,13.90,23.90,0.00,42.90,24.65,3.80,25.10,광주,KIA,삼성,12990.00
2023년4월22일,토요일,13.00,21.30,0.00,17.40,19.75,7.90,18.10,문학,SSG,키움,16535.00
2023년4월23일,일요일,10.70,22.10,0.00,34.10,19.47,8.00,16.90,잠실,두산,KT,10151.00
2023년4월23일,일요일,11.40,21.30,0.00,36.40,18.17,7.80,19.70,한밭,한화,LG,9023.00
2023년4월23일,일요일,8.60,19.20,0.00,46.10,15.82,7.10,16.80,창원,NC,롯데,13286.00
2023년4월23일,일요일,11.70,20.80,0.00,41.80,13.55,8.80,19.00,광주,KIA,삼성,10026.00
2023년4월23일,일요일,12.00,21.10,0.00,32.30,18.98,8.30,18.20,문학,SSG,키움,15878.00
2023년4월25일,화요일,9.00,13.20,0.40,68.60,5.22,9.40,12.00,고척,키움,KT,2956.00
2023년4월25일,화요일,8.60,13.00,1.30,84.90,4.39,9.10,13.60,광주,KIA,NC,2216.00
2023년4월25일,화요일,9.00,13.20,0.40,68.60,5.22,9.40,12.00,잠실,LG,SSG,7344.00
2023년4월26일,수요일,8.10,19.50,0.00,66.30,28.25,0.10,18.70,사직,롯데,한화,7905.00
2023년4월26일,수요일,7.40,13.50,0.00,69.90,15.52,4.50,16.60,고척,키움,KT,2489.00
2023년4월26일,수요일,5.90,16.40,0.00,74.50,24.47,2.30,16.90,광주,KIA,NC,4798.00
2023년4월26일,수요일,6.50,19.50,0.00,57.60,26.52,0.80,17.60,대구,삼성,두산,9213.00
2023년4월26일,수요일,7.40,13.50,0.00,69.90,15.52,4.50,16.60,잠실,LG,SSG,10419.00
2023년4월27일,목요일,10.90,20.60,0.00,66.10,27.52,2.50,20.10,사직,롯데,한화,10393.00
2023년4월27일,목요일,5.10,20.00,0.00,61.60,26.55,0.50,18.30,고척,키움,KT,3024.00
2023년4월27일,목요일,3.90,24.20,0.00,67.00,28.60,2.00,20.80,광주,KIA,NC,6017.00
2023년4월27일,목요일,4.40,24.40,0.00,56.90,27.13,0.30,20.70,대구,삼성,두산,8473.00
2023년4월27일,목요일,5.10,20.00,0.00,61.60,26.55,0.50,18.30,잠실,LG,SSG,13061.00
2023년4월28일,금요일,9.00,21.30,1.90,62.00,21.25,6.40,19.90,잠실,LG,KIA,22695.00
2023년4월28일,금요일,5.80,23.70,0.00,53.60,24.28,3.50,21.50,한밭,한화,NC,7242.00
2023년4월28일,금요일,8.90,19.30,2.10,63.00,21.16,6.10,17.20,문학,SSG,두산,14909.00
2023년4월28일,금요일,6.00,21.70,1.30,64.80,22.11,5.60,19.40,수원,KT,삼성,7314.00
2023년4월28일,금요일,12.40,20.90,0.00,78.60,28.11,4.00,23.30,사직,롯데,키움,14343.00
2023년4월29일,토요일,9.90,15.80,25.10,88.10,6.04,9.60,15.30,잠실,LG,KIA,23750.00
2023년4월29일,토요일,8.90,18.30,7.60,81.00,3.11,9.50,15.70,한밭,한화,NC,7813.00
2023년4월29일,토요일,9.30,15.60,10.30,86.50,9.64,9.60,15.20,문학,SSG,두산,20180.00
2023년4월29일,토요일,9.30,15.40,14.20,87.30,5.30,9.90,14.50,수원,KT,삼성,12039.00
2023년4월30일,일요일,7.90,17.90,0.10,72.90,19.71,6.10,16.40,잠실,LG,KIA,23750.00
2023년4월30일,일요일,7.10,19.80,0.00,57.40,27.24,2.00,18.20,한밭,한화,NC,10442.00
2023년4월30일,일요일,8.40,16.00,0.00,74.60,20.62,6.00,14.90,문학,SSG,두산,21026.00
2023년4월30일,일요일,7.10,18.70,0.00,68.90,23.60,5.40,15.10,수원,KT,삼성,14582.00
2023년4월30일,일요일,10.10,18.80,0.00,57.80,28.89,0.60,21.50,사직,롯데,키움,22990.00
2023년5월2일,화요일,9.10,23.70,0.00,40.50,21.58,6.60,16.80,잠실,두산,한화,9834.00
2023년5월2일,화요일,10.00,22.60,0.00,43.90,21.34,6.90,17.10,문학,SSG,KT,6950.00
2023년5월2일,화요일,9.50,22.90,0.00,50.90,25.71,4.90,18.30,창원,NC,LG,3939.00
2023년5월2일,화요일,10.30,27.10,0.00,40.40,26.72,4.80,22.40,광주,KIA,롯데,8892.00
2023년5월2일,화요일,6.90,25.90,0.00,46.60,24.79,5.50,21.30,대구,삼성,키움,10624.00
2023년5월3일,수요일,12.40,26.20,0.00,52.50,26.20,4.50,22.60,잠실,두산,한화,14271.00
2023년5월3일,수요일,13.60,24.90,0.00,50.40,26.13,4.80,20.30,문학,SSG,KT,7703.00
2023년5월3일,수요일,11.50,22.20,0.00,66.50,13.90,9.00,17.90,창원,NC,LG,4874.00
2023년5월3일,수요일,13.50,22.10,0.00,64.50,12.03,8.60,21.90,광주,KIA,롯데,13815.00
2023년5월3일,수요일,12.00,25.50,0.00,50.50,21.37,8.30,22.40,대구,삼성,키움,13394.00
2023년5월4일,목요일,15.60,25.80,0.00,65.50,16.89,7.90,22.20,잠실,두산,한화,10825.00
2023년5월4일,목요일,16.00,26.00,0.00,64.60,15.77,7.60,20.70,문학,SSG,KT,7529.00
2023년5월4일,목요일,15.10,22.90,0.50,68.00,13.90,9.10,22.70,대구,삼성,키움,12076.00
2023년5월5일,금요일,15.50,21.60,30.20,95.30,1.74,10.00,18.50,고척,키움,SSG,16000.00
2023년5월6일,토요일,11.70,15.50,47.50,85.60,5.42,9.30,13.20,고척,키움,SSG,11063.00
2023년5월7일,일요일,7.70,15.70,0.20,66.50,8.29,7.50,14.30,한밭,한화,KT,8551.00
2023년5월7일,일요일,11.10,18.60,0.00,47.10,12.18,7.10,13.90,잠실,두산,LG,22073.00
2023년5월7일,일요일,11.10,18.60,0.00,47.10,12.18,7.10,13.90,고척,키움,SSG,7623.00
2023년5월9일,화요일,6.70,22.60,0.00,62.80,27.72,2.40,18.40,수원,KT,NC,2764.00
2023년5월9일,화요일,10.60,23.60,0.00,54.40,28.43,1.50,22.00,사직,롯데,두산,11643.00
2023년5월9일,화요일,8.70,25.30,0.00,55.80,29.60,0.50,19.20,광주,KIA,SSG,8916.00
2023년5월9일,화요일,7.20,25.40,0.00,54.80,28.07,0.90,19.20,한밭,한화,삼성,5014.00
2023년5월9일,화요일,10.00,24.40,0.00,55.40,28.29,0.90,20.50,잠실,LG,키움,10421.00
2023년5월10일,수요일,8.00,25.30,0.00,61.10,23.38,3.40,19.40,수원,KT,NC,3734.00
2023년5월10일,수요일,14.90,23.70,0.00,56.30,26.92,4.10,24.80,사직,롯데,두산,11435.00
2023년5월10일,수요일,11.20,26.70,0.00,49.40,29.41,2.90,22.60,광주,KIA,SSG,8481.00
2023년5월10일,수요일,9.40,25.80,0.00,51.90,25.41,4.10,20.80,한밭,한화,삼성,5865.00
2023년5월10일,수요일,10.70,26.00,0.00,53.30,25.58,2.50,21.30,잠실,LG,키움,12125.00
2023년5월11일,목요일,8.90,26.00,0.00,51.80,27.24,2.60,20.60,수원,KT,NC,3934.00
2023년5월11일,목요일,13.50,22.60,0.00,58.10,28.08,3.60,25.60,사직,롯데,두산,13350.00
2023년5월11일,목요일,12.60,27.80,0.00,54.60,24.58,3.80,24.50,광주,KIA,SSG,8898.00
2023년5월11일,목요일,10.10,27.20,0.00,45.00,27.43,4.00,22.40,한밭,한화,삼성,6007.00
2023년5월11일,목요일,12.80,26.70,0.00,50.10,27.64,2.90,23.70,잠실,LG,키움,11773.00
2023년5월12일,금요일,12.70,22.80,0.00,57.00,19.84,4.80,18.10,문학,SSG,한화,14395.00
2023년5월12일,금요일,13.10,24.70,0.00,50.90,19.90,5.00,21.70,잠실,두산,KIA,20563.00
2023년5월12일,금요일,10.50,26.40,0.00,48.40,22.60,7.80,25.10,대구,삼성,LG,13765.00
2023년5월12일,금요일,10.50,24.30,0.00,57.30,20.94,5.90,20.00,수원,KT,롯데,10937.00
2023년5월12일,금요일,13.10,24.70,0.00,50.90,19.90,5.00,21.70,고척,키움,NC,3866.00
2023년5월13일,토요일,12.50,20.60,0.00,70.90,23.14,4.80,18.90,문학,SSG,한화,23000.00
2023년5월13일,토요일,12.60,23.90,0.00,62.00,23.86,3.60,24.20,잠실,두산,KIA,23750.00
2023년5월13일,토요일,16.10,24.50,0.00,62.10,20.72,6.10,24.20,대구,삼성,LG,21817.00
2023년5월13일,토요일,10.80,23.00,0.00,67.50,25.47,4.10,21.70,수원,KT,롯데,18700.00
2023년5월13일,토요일,12.60,23.90,0.00,62.00,23.86,3.60,24.20,고척,키움,NC,6573.00
2023년5월14일,일요일,12.90,21.00,0.00,62.00,26.52,1.10,19.90,문학,SSG,한화,20757.00
2023년5월14일,일요일,12.90,23.80,0.00,56.50,25.41,1.60,24.30,잠실,두산,KIA,23750.00
2023년5월14일,일요일,13.00,27.80,0.00,55.60,27.39,3.00,27.20,대구,삼성,LG,18569.00
2023년5월14일,일요일,10.50,23.10,0.00,62.10,27.20,0.60,22.40,수원,KT,롯데,15470.00
2023년5월14일,일요일,12.90,23.80,0.00,56.50,25.41,1.60,24.30,고척,키움,NC,5634.00
2023년5월16일,화요일,15.80,33.60,0.00,52.00,26.68,1.10,30.10,대구,삼성,KIA,9112.00
2023년5월16일,화요일,17.20,31.20,0.00,51.90,27.62,2.10,30.30,잠실,LG,KT,8567.00
2023년5월16일,화요일,14.80,31.10,0.00,41.90,27.98,1.30,27.90,한밭,한화,롯데,6138.00
2023년5월16일,화요일,17.20,31.20,0.00,51.90,27.62,2.10,30.30,고척,키움,두산,5662.00
2023년5월16일,화요일,14.20,27.40,0.00,75.40,25.97,0.90,24.00,창원,NC,SSG,4113.00
2023년5월17일,수요일,16.30,32.70,0.00,49.50,27.91,3.00,31.00,대구,삼성,KIA,10979.00
2023년5월17일,수요일,18.60,28.70,0.00,63.60,27.59,4.60,30.70,잠실,LG,KT,9838.00
2023년5월17일,수요일,15.60,31.40,0.00,44.80,25.15,3.40,28.20,한밭,한화,롯데,6269.00
2023년5월17일,수요일,18.60,28.70,0.00,63.60,27.59,4.60,30.70,고척,키움,두산,5232.00
2023년5월17일,수요일,14.50,27.30,0.00,74.80,27.50,4.90,24.40,창원,NC,SSG,4344.00
2023년5월18일,목요일,18.80,27.60,1.30,74.80,13.70,7.10,21.60,잠실,LG,KT,9155.00
2023년5월18일,목요일,17.90,22.10,0.00,68.00,6.49,9.40,21.40,한밭,한화,롯데,6116.00
2023년5월18일,목요일,18.80,27.60,1.30,74.80,13.70,7.10,21.60,고척,키움,두산,5742.00
2023년5월19일,금요일,16.70,27.80,0.00,61.40,25.57,2.40,27.20,잠실,LG,한화,19798.00
2023년5월19일,금요일,15.40,25.90,0.00,63.50,20.45,3.00,23.70,수원,KT,두산,6817.00
2023년5월19일,금요일,15.80,21.80,4.60,82.50,13.99,8.30,22.80,사직,롯데,SSG,19011.00
2023년5월19일,금요일,15.70,21.70,0.30,74.10,9.49,6.00,19.40,창원,NC,삼성,8493.00
2023년5월19일,금요일,15.10,25.30,0.00,81.10,20.32,4.10,22.60,광주,KIA,키움,11290.00
2023년5월20일,토요일,16.60,26.70,0.00,66.90,25.72,5.00,28.70,잠실,LG,한화,23750.00
2023년5월20일,토요일,15.60,26.20,0.00,70.40,24.90,3.90,25.50,수원,KT,두산,13253.00
2023년5월20일,토요일,14.50,22.20,0.00,73.00,29.59,2.50,25.40,사직,롯데,SSG,22990.00
2023년5월20일,토요일,13.20,22.90,0.00,73.10,28.32,0.40,21.40,창원,NC,삼성,14870.00
2023년5월20일,토요일,16.40,27.80,0.00,82.00,24.47,4.10,24.20,광주,KIA,키움,19030.00
2023년5월21일,일요일,15.30,21.90,0.20,74.00,20.72,9.00,24.50,잠실,LG,한화,22054.00
2023년5월21일,일요일,15.10,20.80,0.00,76.50,16.32,8.10,21.40,수원,KT,두산,10521.00
2023년5월21일,일요일,16.40,23.20,0.00,78.80,27.91,2.60,27.10,사직,롯데,SSG,22990.00
2023년5월21일,일요일,13.70,27.20,0.00,67.00,26.42,3.00,23.80,창원,NC,삼성,10910.00
2023년5월21일,일요일,16.10,24.10,0.00,86.60,25.61,5.50,25.10,광주,KIA,키움,14617.00
2023년5월23일,화요일,11.70,25.40,0.00,62.50,27.52,1.60,22.40,한밭,한화,KIA,6376.00
2023년5월23일,화요일,15.00,24.60,0.00,57.90,28.56,0.30,23.10,문학,SSG,LG,12508.00
2023년5월23일,화요일,14.40,22.60,0.00,64.00,29.59,1.00,25.10,사직,롯데,NC,15047.00
2023년5월23일,화요일,14.10,26.90,0.00,48.00,29.85,0.60,28.60,잠실,두산,삼성,10733.00
2023년5월23일,화요일,12.40,25.30,0.00,60.80,26.38,0.50,24.70,수원,KT,키움,4203.00
2023년5월24일,수요일,12.40,27.10,0.00,54.80,20.41,6.80,23.80,한밭,한화,KIA,7004.00
2023년5월24일,수요일,14.50,22.00,0.00,54.50,18.52,6.80,20.70,문학,SSG,LG,16829.00
2023년5월24일,수요일,,22.90,0.00,65.60,,5.90,,사직,롯데,NC,14244.00
2023년5월24일,수요일,14.80,25.90,0.00,49.80,19.16,7.00,25.10,잠실,두산,삼성,11108.00
2023년5월24일,수요일,11.80,25.50,0.00,55.40,18.60,6.50,22.80,수원,KT,키움,5173.00
2023년5월25일,목요일,15.30,27.60,0.00,45.00,24.86,6.40,27.70,한밭,한화,KIA,8186.00
2023년5월25일,목요일,14.50,24.80,0.00,53.90,27.44,4.60,22.90,문학,SSG,LG,17575.00
2023년5월25일,목요일,15.90,23.30,0.00,66.00,27.76,5.90,25.30,사직,롯데,NC,15221.00
2023년5월25일,목요일,15.70,27.40,0.00,46.60,27.90,5.40,29.00,잠실,두산,삼성,11005.00
2023년5월25일,목요일,14.40,26.20,0.00,49.80,27.00,4.80,26.50,수원,KT,키움,5235.00
2023년5월26일,금요일,16.50,24.70,0.00,73.60,11.65,9.00,21.60,창원,NC,한화,5952.00
2023년5월26일,금요일,17.60,28.20,0.00,49.80,21.19,7.80,26.60,대구,삼성,KT,12874.00
2023년5월26일,금요일,17.40,25.90,0.00,69.60,14.40,8.60,23.90,광주,KIA,LG,10954.00
2023년5월26일,금요일,15.80,27.30,0.50,57.40,26.25,7.00,29.70,고척,키움,롯데,11692.00
2023년5월26일,금요일,15.80,27.30,0.50,57.40,26.25,7.00,29.70,잠실,두산,SSG,10428.00
2023년5월27일,토요일,18.90,26.60,0.10,71.50,20.28,7.50,24.90,창원,NC,한화,9558.00
2023년5월27일,토요일,19.50,26.90,0.20,64.80,12.63,9.00,27.10,대구,삼성,KT,17305.00
2023년5월27일,토요일,21.00,27.80,0.00,81.90,15.53,9.10,26.50,광주,KIA,LG,17931.00
2023년5월27일,토요일,18.60,20.70,31.80,87.40,3.13,9.60,19.60,고척,키움,롯데,16000.00
2023년5월28일,일요일,19.60,23.30,10.60,86.60,3.78,9.90,22.80,대구,삼성,KT,14523.00
2023년5월28일,일요일,20.20,26.80,1.30,97.10,9.00,9.40,24.50,광주,KIA,LG,17015.00
2023년5월28일,일요일,18.40,20.20,41.80,98.90,2.46,10.00,19.60,고척,키움,롯데,16000.00
2023년5월30일,화요일,20.10,23.90,4.10,98.10,9.25,9.80,23.70,광주,KIA,KT,5352.00
2023년5월30일,화요일,20.50,28.90,0.00,69.50,18.20,6.50,25.60,잠실,LG,롯데,20330.00
2023년5월30일,화요일,18.20,21.90,10.80,86.10,6.96,9.80,22.00,창원,NC,두산,3180.00
2023년5월30일,화요일,19.40,25.80,0.00,76.50,14.94,5.00,22.30,문학,SSG,삼성,10232.00
2023년5월30일,화요일,16.50,26.50,0.00,73.00,22.34,5.30,23.90,한밭,한화,키움,4486.00
2023년5월31일,수요일,18.40,28.90,1.30,70.60,29.54,4.40,26.20,광주,KIA,KT,7244.00
2023년5월31일,수요일,18.80,28.20,0.00,60.80,23.98,6.50,25.80,잠실,LG,롯데,21269.00
2023년5월31일,수요일,15.60,26.60,0.00,57.50,27.52,3.40,23.20,창원,NC,두산,4180.00
2023년5월31일,수요일,18.70,24.90,0.00,64.60,22.40,7.30,23.90,문학,SSG,삼성,10745.00
2023년5월31일,수요일,16.50,28.30,0.00,53.60,29.70,3.10,25.20,한밭,한화,키움,4384.00
2023년6월1일,목요일,19.70,26.30,0.00,66.90,15.18,8.30,24.30,잠실,LG,롯데,22020.00
2023년6월1일,목요일,18.00,24.90,0.00,74.80,17.17,6.60,23.80,문학,SSG,삼성,9028.00
2023년6월1일,목요일,17.50,28.00,0.00,63.90,18.45,8.60,25.10,한밭,한화,키움,5040.00
2023년6월2일,금요일,19.30,27.80,1.90,67.30,29.13,2.90,28.00,사직,롯데,KIA,18996.00
2023년6월2일,금요일,17.90,25.00,0.00,77.40,14.24,3.50,23.30,잠실,LG,NC,10238.00
2023년6월2일,금요일,15.60,23.90,0.00,82.80,14.94,3.90,23.60,수원,KT,두산,5157.00
2023년6월2일,금요일,18.10,27.20,0.00,67.80,24.31,4.90,26.70,한밭,한화,삼성,6675.00
2023년6월2일,금요일,16.90,22.60,0.00,82.60,15.51,4.50,22.80,문학,SSG,키움,12533.00
2023년6월3일,토요일,17.90,24.70,0.00,59.30,29.80,0.50,27.10,사직,롯데,KIA,22990.00
2023년6월3일,토요일,16.60,27.80,0.00,60.10,31.19,2.10,28.30,잠실,LG,NC,18890.00
2023년6월3일,토요일,13.90,26.90,0.00,62.90,30.08,2.00,26.40,수원,KT,두산,12155.00
2023년6월3일,토요일,15.60,28.10,0.00,51.60,28.77,2.50,26.50,한밭,한화,삼성,12000.00
2023년6월3일,토요일,16.50,25.90,0.00,61.60,30.37,2.50,23.20,문학,SSG,키움,19071.00
2023년6월4일,일요일,18.80,27.80,0.00,43.00,26.95,6.00,25.70,사직,롯데,KIA,22990.00
2023년6월4일,일요일,16.90,28.00,0.00,61.00,28.74,3.30,29.10,잠실,LG,NC,15096.00
2023년6월4일,일요일,14.20,26.90,0.00,65.90,24.23,4.60,25.00,수원,KT,두산,10239.00
2023년6월4일,일요일,17.10,28.70,0.00,50.10,28.18,5.80,27.60,한밭,한화,삼성,12000.00
2023년6월4일,일요일,15.90,23.80,0.00,72.90,24.66,3.90,23.70,문학,SSG,키움,17007.00
